algorithm,dataset,size,trials,avg_nanoseconds
InsertionSort,random,1000,5,1272020
MergeSort,random,1000,5,226780
QuickSort,random,1000,5,247440
InsertionSort,random,5000,5,6194980
MergeSort,random,5000,5,2682900
QuickSort,random,5000,5,338100
InsertionSort,random,10000,5,10110840
MergeSort,random,10000,5,1175900
QuickSort,random,10000,5,699860
InsertionSort,random,20000,5,42536520
MergeSort,random,20000,5,2039960
QuickSort,random,20000,5,1400260
InsertionSort,sorted,1000,5,10940
MergeSort,sorted,1000,5,11020
QuickSort,sorted,1000,5,13920
InsertionSort,sorted,5000,5,6740
MergeSort,sorted,5000,5,41680
QuickSort,sorted,5000,5,79060
InsertionSort,sorted,10000,5,19140
MergeSort,sorted,10000,5,91620
QuickSort,sorted,10000,5,163480
InsertionSort,sorted,20000,5,39000
MergeSort,sorted,20000,5,185360
QuickSort,sorted,20000,5,354100
InsertionSort,reversed,1000,5,212140
MergeSort,reversed,1000,5,49240
QuickSort,reversed,1000,5,22280
InsertionSort,reversed,5000,5,5145800
MergeSort,reversed,5000,5,261680
QuickSort,reversed,5000,5,133120
InsertionSort,reversed,10000,5,20961740
MergeSort,reversed,10000,5,547620
QuickSort,reversed,10000,5,309260
InsertionSort,reversed,20000,5,85402380
MergeSort,reversed,20000,5,1292440
QuickSort,reversed,20000,5,720720
