algorithm,dataset,size,trial,nanoseconds
InsertionSort,random,1000,1,2648100
InsertionSort,random,1000,2,602300
InsertionSort,random,1000,3,963000
InsertionSort,random,1000,4,955700
InsertionSort,random,1000,5,1191000
MergeSort,random,1000,1,562400
MergeSort,random,1000,2,132600
MergeSort,random,1000,3,147500
MergeSort,random,1000,4,148000
MergeSort,random,1000,5,143400
QuickSort,random,1000,1,596100
QuickSort,random,1000,2,216300
QuickSort,random,1000,3,143700
QuickSort,random,1000,4,143200
QuickSort,random,1000,5,137900
InsertionSort,random,5000,1,11183800
InsertionSort,random,5000,2,11350900
InsertionSort,random,5000,3,2889600
InsertionSort,random,5000,4,2788000
InsertionSort,random,5000,5,2762600
MergeSort,random,5000,1,3091400
MergeSort,random,5000,2,2906000
MergeSort,random,5000,3,1627800
MergeSort,random,5000,4,3111700
MergeSort,random,5000,5,2677600
QuickSort,random,5000,1,359100
QuickSort,random,5000,2,328300
QuickSort,random,5000,3,341700
QuickSort,random,5000,4,323800
QuickSort,random,5000,5,337600
InsertionSort,random,10000,1,10233000
InsertionSort,random,10000,2,10115200
InsertionSort,random,10000,3,10340500
InsertionSort,random,10000,4,9780300
InsertionSort,random,10000,5,10085200
MergeSort,random,10000,1,1661300
MergeSort,random,10000,2,1041200
MergeSort,random,10000,3,1095300
MergeSort,random,10000,4,1076600
MergeSort,random,10000,5,1005100
QuickSort,random,10000,1,759000
QuickSort,random,10000,2,709300
QuickSort,random,10000,3,695200
QuickSort,random,10000,4,677300
QuickSort,random,10000,5,658500
InsertionSort,random,20000,1,44254800
InsertionSort,random,20000,2,46280600
InsertionSort,random,20000,3,40517300
InsertionSort,random,20000,4,40652600
InsertionSort,random,20000,5,40977300
MergeSort,random,20000,1,2112500
MergeSort,random,20000,2,2063600
MergeSort,random,20000,3,2027600
MergeSort,random,20000,4,1981700
MergeSort,random,20000,5,2014400
QuickSort,random,20000,1,1381400
QuickSort,random,20000,2,1392800
QuickSort,random,20000,3,1384800
QuickSort,random,20000,4,1412100
QuickSort,random,20000,5,1430200
InsertionSort,sorted,1000,1,3200
InsertionSort,sorted,1000,2,44900
InsertionSort,sorted,1000,3,2400
InsertionSort,sorted,1000,4,2000
